crosscourt;down_middle;down_the_line;inside_out;inside_in;date;tournoi;categorie;type_surface;joueur;row
95;70;38;36;7;27/01/1991;australian open;F;Hard;Ivan Lendl;Total
34;30;16;28;7;27/01/1991;australian open;F;Hard;Ivan Lendl;F
34;28;15;5;0;27/01/1991;australian open;F;Hard;Ivan Lendl;B
27;12;7;3;0;27/01/1991;australian open;F;Hard;Ivan Lendl;S
105;56;46;31;1;27/01/1991;australian open;F;Hard;Boris Becker;Total
45;31;16;25;1;27/01/1991;australian open;F;Hard;Boris Becker;F
24;13;14;5;0;27/01/1991;australian open;F;Hard;Boris Becker;B
36;12;16;1;0;27/01/1991;australian open;F;Hard;Boris Becker;S
45;44;17;22;6;08/09/1991;us open;F;Hard;Jim Courier;Total
24;27;5;15;6;08/09/1991;us open;F;Hard;Jim Courier;F
16;12;6;5;0;08/09/1991;us open;F;Hard;Jim Courier;B
5;5;6;2;0;08/09/1991;us open;F;Hard;Jim Courier;S
34;26;11;8;0;08/09/1991;us open;F;Hard;Stefan Edberg;Total
16;13;6;6;0;08/09/1991;us open;F;Hard;Stefan Edberg;F
4;7;1;0;0;08/09/1991;us open;F;Hard;Stefan Edberg;B
14;6;4;2;0;08/09/1991;us open;F;Hard;Stefan Edberg;S
79;48;32;37;6;26/01/1992;australian open;F;Hard;Jim Courier;Total
36;22;11;35;6;26/01/1992;australian open;F;Hard;Jim Courier;F
33;26;16;1;0;26/01/1992;australian open;F;Hard;Jim Courier;B
10;0;5;1;0;26/01/1992;australian open;F;Hard;Jim Courier;S
82;22;23;7;0;26/01/1992;australian open;F;Hard;Stefan Edberg;Total
23;7;12;2;0;26/01/1992;australian open;F;Hard;Stefan Edberg;F
41;8;7;3;0;26/01/1992;australian open;F;Hard;Stefan Edberg;B
18;7;4;2;0;26/01/1992;australian open;F;Hard;Stefan Edberg;S
16;15;9;5;0;04/07/1992;wimbledon;SF;Grass;John Mcenroe;Total
9;6;1;2;0;04/07/1992;wimbledon;SF;Grass;John Mcenroe;F
1;5;2;1;0;04/07/1992;wimbledon;SF;Grass;John Mcenroe;B
6;4;6;2;0;04/07/1992;wimbledon;SF;Grass;John Mcenroe;S
44;23;23;16;1;04/07/1992;wimbledon;SF;Grass;Andre Agassi;Total
22;11;8;8;1;04/07/1992;wimbledon;SF;Grass;Andre Agassi;F
22;10;13;6;0;04/07/1992;wimbledon;SF;Grass;Andre Agassi;B
0;2;2;2;0;04/07/1992;wimbledon;SF;Grass;Andre Agassi;S
33;22;33;22;4;13/09/1992;us open;F;Hard;Pete Sampras;Total
8;3;13;14;4;13/09/1992;us open;F;Hard;Pete Sampras;F
21;16;14;7;0;13/09/1992;us open;F;Hard;Pete Sampras;B
4;3;6;1;0;13/09/1992;us open;F;Hard;Pete Sampras;S
49;11;19;11;0;13/09/1992;us open;F;Hard;Stefan Edberg;Total
13;4;12;9;0;13/09/1992;us open;F;Hard;Stefan Edberg;F
22;6;6;2;0;13/09/1992;us open;F;Hard;Stefan Edberg;B
14;1;1;0;0;13/09/1992;us open;F;Hard;Stefan Edberg;S
68;77;19;41;1;12/09/1993;us open;F;Hard;Cedric Pioline;Total
17;32;9;31;1;12/09/1993;us open;F;Hard;Cedric Pioline;F
37;41;9;8;0;12/09/1993;us open;F;Hard;Cedric Pioline;B
14;4;1;2;0;12/09/1993;us open;F;Hard;Cedric Pioline;S
83;65;8;28;1;12/09/1993;us open;F;Hard;Pete Sampras;Total
36;24;3;28;1;12/09/1993;us open;F;Hard;Pete Sampras;F
34;32;3;0;0;12/09/1993;us open;F;Hard;Pete Sampras;B
13;9;2;0;0;12/09/1993;us open;F;Hard;Pete Sampras;S
97;53;48;18;5;29/01/1995;australian open;F;Hard;Pete Sampras;Total
39;13;24;11;4;29/01/1995;australian open;F;Hard;Pete Sampras;F
38;27;12;4;0;29/01/1995;australian open;F;Hard;Pete Sampras;B
20;13;12;3;1;29/01/1995;australian open;F;Hard;Pete Sampras;S
146;43;28;25;10;29/01/1995;australian open;F;Hard;Andre Agassi;Total
63;29;18;20;9;29/01/1995;australian open;F;Hard;Andre Agassi;F
73;12;9;5;0;29/01/1995;australian open;F;Hard;Andre Agassi;B
10;2;1;0;1;29/01/1995;australian open;F;Hard;Andre Agassi;S
14;1;8;1;0;09/07/1995;wimbledon;F;Grass;Pete Sampras;Total
4;0;3;1;0;09/07/1995;wimbledon;F;Grass;Pete Sampras;F
9;1;5;0;0;09/07/1995;wimbledon;F;Grass;Pete Sampras;B
1;0;0;0;0;09/07/1995;wimbledon;F;Grass;Pete Sampras;S
8;2;7;3;0;09/07/1995;wimbledon;F;Grass;Boris Becker;Total
4;1;2;2;0;09/07/1995;wimbledon;F;Grass;Boris Becker;F
2;0;4;1;0;09/07/1995;wimbledon;F;Grass;Boris Becker;B
2;1;1;0;0;09/07/1995;wimbledon;F;Grass;Boris Becker;S
98;48;29;19;4;10/09/1995;us open;F;Hard;Pete Sampras;Total
36;14;10;16;4;10/09/1995;us open;F;Hard;Pete Sampras;F
51;26;13;3;0;10/09/1995;us open;F;Hard;Pete Sampras;B
11;8;6;0;0;10/09/1995;us open;F;Hard;Pete Sampras;S
126;39;26;45;5;10/09/1995;us open;F;Hard;Andre Agassi;Total
51;22;12;41;5;10/09/1995;us open;F;Hard;Andre Agassi;F
70;12;13;4;0;10/09/1995;us open;F;Hard;Andre Agassi;B
5;5;1;0;0;10/09/1995;us open;F;Hard;Andre Agassi;S
65;65;39;15;3;28/01/1996;australian open;F;Hard;Michael Chang;Total
24;31;19;13;3;28/01/1996;australian open;F;Hard;Michael Chang;F
37;30;18;2;0;28/01/1996;australian open;F;Hard;Michael Chang;B
4;4;2;0;0;28/01/1996;australian open;F;Hard;Michael Chang;S
61;30;25;23;1;28/01/1996;australian open;F;Hard;Boris Becker;Total
28;12;11;19;1;28/01/1996;australian open;F;Hard;Boris Becker;F
20;15;12;4;0;28/01/1996;australian open;F;Hard;Boris Becker;B
13;3;2;0;0;28/01/1996;australian open;F;Hard;Boris Becker;S
78;28;20;21;8;08/09/1996;us open;F;Hard;Pete Sampras;Total
13;7;5;19;8;08/09/1996;us open;F;Hard;Pete Sampras;F
59;19;12;2;0;08/09/1996;us open;F;Hard;Pete Sampras;B
6;2;3;0;0;08/09/1996;us open;F;Hard;Pete Sampras;S
82;28;15;26;8;08/09/1996;us open;F;Hard;Michael Chang;Total
14;15;4;25;8;08/09/1996;us open;F;Hard;Michael Chang;F
60;13;11;1;0;08/09/1996;us open;F;Hard;Michael Chang;B
8;0;0;0;0;08/09/1996;us open;F;Hard;Michael Chang;S
125;100;39;58;5;08/06/1997;roland garros;F;Clay;Sergi Bruguera;Total
57;53;23;53;5;08/06/1997;roland garros;F;Clay;Sergi Bruguera;F
59;42;13;4;0;08/06/1997;roland garros;F;Clay;Sergi Bruguera;B
9;5;3;1;0;08/06/1997;roland garros;F;Clay;Sergi Bruguera;S
147;80;23;61;15;08/06/1997;roland garros;F;Clay;Gustavo Kuerten;Total
73;32;9;56;15;08/06/1997;roland garros;F;Clay;Gustavo Kuerten;F
70;38;12;5;0;08/06/1997;roland garros;F;Clay;Gustavo Kuerten;B
4;10;2;0;0;08/06/1997;roland garros;F;Clay;Gustavo Kuerten;S
23;12;15;7;1;07/09/1997;us open;F;Hard;Patrick Rafter;Total
11;5;7;3;1;07/09/1997;us open;F;Hard;Patrick Rafter;F
10;3;5;2;0;07/09/1997;us open;F;Hard;Patrick Rafter;B
2;4;3;2;0;07/09/1997;us open;F;Hard;Patrick Rafter;S
23;12;16;6;1;07/09/1997;us open;F;Hard;Greg Rusedski;Total
14;4;8;5;1;07/09/1997;us open;F;Hard;Greg Rusedski;F
5;3;4;0;0;07/09/1997;us open;F;Hard;Greg Rusedski;B
4;5;4;1;0;07/09/1997;us open;F;Hard;Greg Rusedski;S
76;24;16;18;2;01/02/1998;australian open;F;Hard;Petr Korda;Total
26;7;7;14;2;01/02/1998;australian open;F;Hard;Petr Korda;F
37;9;9;2;0;01/02/1998;australian open;F;Hard;Petr Korda;B
13;8;0;2;0;01/02/1998;australian open;F;Hard;Petr Korda;S
55;32;21;20;2;01/02/1998;australian open;F;Hard;Marcelo Rios;Total
19;14;8;19;2;01/02/1998;australian open;F;Hard;Marcelo Rios;F
31;16;13;1;0;01/02/1998;australian open;F;Hard;Marcelo Rios;B
5;2;0;0;0;01/02/1998;australian open;F;Hard;Marcelo Rios;S
18;4;15;6;1;05/07/1998;wimbledon;F;Grass;Goran Ivanisevic;Total
9;2;4;2;1;05/07/1998;wimbledon;F;Grass;Goran Ivanisevic;F
7;2;8;3;0;05/07/1998;wimbledon;F;Grass;Goran Ivanisevic;B
2;0;3;1;0;05/07/1998;wimbledon;F;Grass;Goran Ivanisevic;S
12;2;9;7;0;05/07/1998;wimbledon;F;Grass;Pete Sampras;Total
6;0;1;5;0;05/07/1998;wimbledon;F;Grass;Pete Sampras;F
6;2;7;2;0;05/07/1998;wimbledon;F;Grass;Pete Sampras;B
0;0;1;0;0;05/07/1998;wimbledon;F;Grass;Pete Sampras;S
84;63;27;22;3;12/09/1999;us open;F;Hard;Todd Martin;Total
31;25;12;12;2;12/09/1999;us open;F;Hard;Todd Martin;F
29;23;14;9;1;12/09/1999;us open;F;Hard;Todd Martin;B
24;15;1;1;0;12/09/1999;us open;F;Hard;Todd Martin;S
120;60;23;25;4;12/09/1999;us open;F;Hard;Andre Agassi;Total
52;31;11;18;4;12/09/1999;us open;F;Hard;Andre Agassi;F
62;23;9;7;0;12/09/1999;us open;F;Hard;Andre Agassi;B
6;6;3;0;0;12/09/1999;us open;F;Hard;Andre Agassi;S
54;27;8;8;6;10/09/2000;us open;F;Hard;Pete Sampras;Total
24;6;0;4;6;10/09/2000;us open;F;Hard;Pete Sampras;F
19;12;4;3;0;10/09/2000;us open;F;Hard;Pete Sampras;B
11;9;4;1;0;10/09/2000;us open;F;Hard;Pete Sampras;S
86;34;19;10;0;10/09/2000;us open;F;Hard;Marat Safin;Total
26;18;14;9;0;10/09/2000;us open;F;Hard;Marat Safin;F
54;15;5;1;0;10/09/2000;us open;F;Hard;Marat Safin;B
6;1;0;0;0;10/09/2000;us open;F;Hard;Marat Safin;S
30;14;18;19;2;02/07/2001;wimbledon;R16;Grass;Roger Federer;Total
14;6;8;15;2;02/07/2001;wimbledon;R16;Grass;Roger Federer;F
14;7;3;3;0;02/07/2001;wimbledon;R16;Grass;Roger Federer;B
2;1;7;1;0;02/07/2001;wimbledon;R16;Grass;Roger Federer;S
25;9;19;11;0;02/07/2001;wimbledon;R16;Grass;Pete Sampras;Total
12;2;5;8;0;02/07/2001;wimbledon;R16;Grass;Pete Sampras;F
5;6;11;1;0;02/07/2001;wimbledon;R16;Grass;Pete Sampras;B
8;1;3;2;0;02/07/2001;wimbledon;R16;Grass;Pete Sampras;S
22;5;9;5;2;09/07/2001;wimbledon;F;Grass;Goran Ivanisevic;Total
14;2;1;1;1;09/07/2001;wimbledon;F;Grass;Goran Ivanisevic;F
7;2;5;4;1;09/07/2001;wimbledon;F;Grass;Goran Ivanisevic;B
1;1;3;0;0;09/07/2001;wimbledon;F;Grass;Goran Ivanisevic;S
9;3;8;5;1;09/07/2001;wimbledon;F;Grass;Patrick Rafter;Total
4;1;3;1;1;09/07/2001;wimbledon;F;Grass;Patrick Rafter;F
3;2;2;4;0;09/07/2001;wimbledon;F;Grass;Patrick Rafter;B
2;0;3;0;0;09/07/2001;wimbledon;F;Grass;Patrick Rafter;S
45;26;14;6;4;09/09/2001;us open;F;Hard;Pete Sampras;Total
17;13;7;6;4;09/09/2001;us open;F;Hard;Pete Sampras;F
12;9;5;0;0;09/09/2001;us open;F;Hard;Pete Sampras;B
16;4;2;0;0;09/09/2001;us open;F;Hard;Pete Sampras;S
66;28;9;30;3;09/09/2001;us open;F;Hard;Lleyton Hewitt;Total
27;10;7;25;3;09/09/2001;us open;F;Hard;Lleyton Hewitt;F
38;12;2;5;0;09/09/2001;us open;F;Hard;Lleyton Hewitt;B
1;6;0;0;0;09/09/2001;us open;F;Hard;Lleyton Hewitt;S
215;86;32;24;3;07/07/2002;wimbledon;F;Grass;David Nalbandian;Total
90;30;7;18;3;07/07/2002;wimbledon;F;Grass;David Nalbandian;F
109;45;22;6;0;07/07/2002;wimbledon;F;Grass;David Nalbandian;B
16;11;3;0;0;07/07/2002;wimbledon;F;Grass;David Nalbandian;S
183;89;34;51;1;07/07/2002;wimbledon;F;Grass;Lleyton Hewitt;Total
79;49;28;49;1;07/07/2002;wimbledon;F;Grass;Lleyton Hewitt;F
90;32;5;2;0;07/07/2002;wimbledon;F;Grass;Lleyton Hewitt;B
14;8;1;0;0;07/07/2002;wimbledon;F;Grass;Lleyton Hewitt;S
69;18;11;14;2;08/09/2002;us open;F;Hard;Pete Sampras;Total
27;5;3;12;2;08/09/2002;us open;F;Hard;Pete Sampras;F
28;7;6;2;0;08/09/2002;us open;F;Hard;Pete Sampras;B
14;6;2;0;0;08/09/2002;us open;F;Hard;Pete Sampras;S
87;35;26;15;1;08/09/2002;us open;F;Hard;Andre Agassi;Total
32;18;13;10;1;08/09/2002;us open;F;Hard;Andre Agassi;F
52;15;11;5;0;08/09/2002;us open;F;Hard;Andre Agassi;B
3;2;2;0;0;08/09/2002;us open;F;Hard;Andre Agassi;S
110;60;36;12;4;26/01/2003;australian open;F;Hard;Rainer Schuettler;Total
30;29;20;11;4;26/01/2003;australian open;F;Hard;Rainer Schuettler;F
54;25;14;1;0;26/01/2003;australian open;F;Hard;Rainer Schuettler;B
26;6;2;0;0;26/01/2003;australian open;F;Hard;Rainer Schuettler;S
140;26;25;23;6;26/01/2003;australian open;F;Hard;Andre Agassi;Total
50;9;12;20;6;26/01/2003;australian open;F;Hard;Andre Agassi;F
83;16;10;3;0;26/01/2003;australian open;F;Hard;Andre Agassi;B
7;1;3;0;0;26/01/2003;australian open;F;Hard;Andre Agassi;S
82;41;10;23;3;07/09/2003;us open;F;Hard;Andy Roddick;Total
38;18;3;18;3;07/09/2003;us open;F;Hard;Andy Roddick;F
32;20;6;5;0;07/09/2003;us open;F;Hard;Andy Roddick;B
12;3;1;0;0;07/09/2003;us open;F;Hard;Andy Roddick;S
69;58;23;27;8;07/09/2003;us open;F;Hard;Juan Carlos Ferrero;Total
26;26;13;26;8;07/09/2003;us open;F;Hard;Juan Carlos Ferrero;F
42;32;9;1;0;07/09/2003;us open;F;Hard;Juan Carlos Ferrero;B
1;0;1;0;0;07/09/2003;us open;F;Hard;Juan Carlos Ferrero;S
278;240;47;75;5;06/06/2004;roland garros;F;Clay;Gaston Gaudio;Total
178;126;33;68;5;06/06/2004;roland garros;F;Clay;Gaston Gaudio;F
77;90;13;7;0;06/06/2004;roland garros;F;Clay;Gaston Gaudio;B
23;24;1;0;0;06/06/2004;roland garros;F;Clay;Gaston Gaudio;S
207;286;75;70;17;06/06/2004;roland garros;F;Clay;Guillermo Coria;Total
141;138;41;51;17;06/06/2004;roland garros;F;Clay;Guillermo Coria;F
64;132;33;18;0;06/06/2004;roland garros;F;Clay;Guillermo Coria;B
2;16;1;1;0;06/06/2004;roland garros;F;Clay;Guillermo Coria;S
93;56;24;36;6;04/07/2004;wimbledon;F;Grass;Roger Federer;Total
43;22;8;34;6;04/07/2004;wimbledon;F;Grass;Roger Federer;F
40;26;15;2;0;04/07/2004;wimbledon;F;Grass;Roger Federer;B
10;8;1;0;0;04/07/2004;wimbledon;F;Grass;Roger Federer;S
101;45;24;48;9;04/07/2004;wimbledon;F;Grass;Andy Roddick;Total
44;27;15;44;8;04/07/2004;wimbledon;F;Grass;Andy Roddick;F
48;12;8;4;0;04/07/2004;wimbledon;F;Grass;Andy Roddick;B
9;6;1;0;1;04/07/2004;wimbledon;F;Grass;Andy Roddick;S
73;43;22;21;5;03/07/2005;wimbledon;F;Grass;Roger Federer;Total
28;20;5;19;5;03/07/2005;wimbledon;F;Grass;Roger Federer;F
36;20;13;2;0;03/07/2005;wimbledon;F;Grass;Roger Federer;B
9;3;4;0;0;03/07/2005;wimbledon;F;Grass;Roger Federer;S
57;35;25;34;6;03/07/2005;wimbledon;F;Grass;Andy Roddick;Total
25;15;14;33;6;03/07/2005;wimbledon;F;Grass;Andy Roddick;F
29;16;8;0;0;03/07/2005;wimbledon;F;Grass;Andy Roddick;B
3;4;3;1;0;03/07/2005;wimbledon;F;Grass;Andy Roddick;S
115;89;32;29;5;11/09/2005;us open;F;Hard;Roger Federer;Total
57;27;19;24;5;11/09/2005;us open;F;Hard;Roger Federer;F
35;49;10;4;0;11/09/2005;us open;F;Hard;Roger Federer;B
23;13;3;1;0;11/09/2005;us open;F;Hard;Roger Federer;S
148;62;27;41;6;11/09/2005;us open;F;Hard;Andre Agassi;Total
56;32;15;35;6;11/09/2005;us open;F;Hard;Andre Agassi;F
82;27;8;6;0;11/09/2005;us open;F;Hard;Andre Agassi;B
10;3;4;0;0;11/09/2005;us open;F;Hard;Andre Agassi;S
123;32;53;35;3;23/01/2006;australian open;QF;Hard;David Nalbandian;Total
55;9;26;20;2;23/01/2006;australian open;QF;Hard;David Nalbandian;F
61;22;24;14;1;23/01/2006;australian open;QF;Hard;David Nalbandian;B
7;1;3;1;0;23/01/2006;australian open;QF;Hard;David Nalbandian;S
73;37;14;5;1;23/01/2006;australian open;QF;Hard;Fabrice Santoro;Total
5;3;1;1;0;23/01/2006;australian open;QF;Hard;Fabrice Santoro;F
65;34;13;4;1;23/01/2006;australian open;QF;Hard;Fabrice Santoro;B
3;0;0;0;0;23/01/2006;australian open;QF;Hard;Fabrice Santoro;S
145;123;41;66;11;11/06/2006;roland garros;F;Clay;Roger Federer;Total
95;42;11;53;11;11/06/2006;roland garros;F;Clay;Roger Federer;F
41;66;26;11;0;11/06/2006;roland garros;F;Clay;Roger Federer;B
9;15;4;2;0;11/06/2006;roland garros;F;Clay;Roger Federer;S
146;120;43;46;20;11/06/2006;roland garros;F;Clay;Rafael Nadal;Total
97;49;16;34;20;11/06/2006;roland garros;F;Clay;Rafael Nadal;F
46;65;25;11;0;11/06/2006;roland garros;F;Clay;Rafael Nadal;B
3;6;2;1;0;11/06/2006;roland garros;F;Clay;Rafael Nadal;S
54;38;17;34;2;27/06/2006;wimbledon;R128;Grass;Roger Federer;Total
22;11;6;32;2;27/06/2006;wimbledon;R128;Grass;Roger Federer;F
23;21;10;2;0;27/06/2006;wimbledon;R128;Grass;Roger Federer;B
9;6;1;0;0;27/06/2006;wimbledon;R128;Grass;Roger Federer;S
64;42;18;16;1;27/06/2006;wimbledon;R128;Grass;Richard Gasquet;Total
19;20;8;14;1;27/06/2006;wimbledon;R128;Grass;Richard Gasquet;F
38;19;9;2;0;27/06/2006;wimbledon;R128;Grass;Richard Gasquet;B
7;3;1;0;0;27/06/2006;wimbledon;R128;Grass;Richard Gasquet;S
106;70;37;28;6;09/09/2007;us open;F;Hard;Roger Federer;Total
47;34;18;25;5;09/09/2007;us open;F;Hard;Roger Federer;F
40;29;18;3;0;09/09/2007;us open;F;Hard;Roger Federer;B
19;7;1;0;1;09/09/2007;us open;F;Hard;Roger Federer;S
112;59;23;42;2;09/09/2007;us open;F;Hard;Novak Djokovic;Total
42;22;8;31;2;09/09/2007;us open;F;Hard;Novak Djokovic;F
67;30;14;11;0;09/09/2007;us open;F;Hard;Novak Djokovic;B
3;7;1;0;0;09/09/2007;us open;F;Hard;Novak Djokovic;S
92;88;39;30;11;08/06/2008;roland garros;F;Clay;Roger Federer;Total
64;39;14;26;11;08/06/2008;roland garros;F;Clay;Roger Federer;F
24;45;22;3;0;08/06/2008;roland garros;F;Clay;Roger Federer;B
4;4;3;1;0;08/06/2008;roland garros;F;Clay;Roger Federer;S
128;71;30;26;3;08/06/2008;roland garros;F;Clay;Rafael Nadal;Total
81;24;9;19;3;08/06/2008;roland garros;F;Clay;Rafael Nadal;F
45;43;20;7;0;08/06/2008;roland garros;F;Clay;Rafael Nadal;B
2;4;1;0;0;08/06/2008;roland garros;F;Clay;Rafael Nadal;S
92;74;32;38;11;08/09/2008;us open;F;Hard;Roger Federer;Total
48;33;15;34;11;08/09/2008;us open;F;Hard;Roger Federer;F
29;33;14;3;0;08/09/2008;us open;F;Hard;Roger Federer;B
15;8;3;1;0;08/09/2008;us open;F;Hard;Roger Federer;S
88;76;36;42;2;08/09/2008;us open;F;Hard;Andy Murray;Total
41;41;20;35;2;08/09/2008;us open;F;Hard;Andy Murray;F
36;31;10;6;0;08/09/2008;us open;F;Hard;Andy Murray;B
11;4;6;1;0;08/09/2008;us open;F;Hard;Andy Murray;S
203;140;68;99;8;30/01/2009;australian open;SF;Hard;Fernando Verdasco;Total
91;72;26;78;7;30/01/2009;australian open;SF;Hard;Fernando Verdasco;F
96;55;36;18;1;30/01/2009;australian open;SF;Hard;Fernando Verdasco;B
16;13;6;3;0;30/01/2009;australian open;SF;Hard;Fernando Verdasco;S
197;173;63;68;11;30/01/2009;australian open;SF;Hard;Rafael Nadal;Total
96;79;37;61;8;30/01/2009;australian open;SF;Hard;Rafael Nadal;F
50;45;16;4;1;30/01/2009;australian open;SF;Hard;Rafael Nadal;B
51;49;10;3;2;30/01/2009;australian open;SF;Hard;Rafael Nadal;S
230;154;85;62;17;01/02/2009;australian open;F;Hard;Roger Federer;Total
114;56;27;51;15;01/02/2009;australian open;F;Hard;Roger Federer;F
105;84;41;10;0;01/02/2009;australian open;F;Hard;Roger Federer;B
11;14;17;1;2;01/02/2009;australian open;F;Hard;Roger Federer;S
301;120;83;60;9;01/02/2009;australian open;F;Hard;Rafael Nadal;Total
202;37;33;38;9;01/02/2009;australian open;F;Hard;Rafael Nadal;F
91;71;37;20;0;01/02/2009;australian open;F;Hard;Rafael Nadal;B
8;12;13;2;0;01/02/2009;australian open;F;Hard;Rafael Nadal;S
76;56;23;35;5;07/06/2009;roland garros;F;Clay;Robin Soderling;Total
31;31;15;30;4;07/06/2009;roland garros;F;Clay;Robin Soderling;F
43;23;8;4;1;07/06/2009;roland garros;F;Clay;Robin Soderling;B
2;2;0;1;0;07/06/2009;roland garros;F;Clay;Robin Soderling;S
77;54;21;26;7;07/06/2009;roland garros;F;Clay;Roger Federer;Total
44;28;7;25;6;07/06/2009;roland garros;F;Clay;Roger Federer;F
27;18;11;1;0;07/06/2009;roland garros;F;Clay;Roger Federer;B
6;8;3;0;1;07/06/2009;roland garros;F;Clay;Roger Federer;S
165;81;59;71;4;05/07/2009;wimbledon;F;Grass;Andy Roddick;Total
75;30;25;59;4;05/07/2009;wimbledon;F;Grass;Andy Roddick;F
78;44;27;9;0;05/07/2009;wimbledon;F;Grass;Andy Roddick;B
12;7;7;3;0;05/07/2009;wimbledon;F;Grass;Andy Roddick;S
165;96;57;46;7;05/07/2009;wimbledon;F;Grass;Roger Federer;Total
77;49;32;46;7;05/07/2009;wimbledon;F;Grass;Roger Federer;F
41;31;19;0;0;05/07/2009;wimbledon;F;Grass;Roger Federer;B
47;16;6;0;0;05/07/2009;wimbledon;F;Grass;Roger Federer;S
196;33;50;12;1;26/01/2010;australian open;QF;Hard;Andy Murray;Total
124;9;21;9;1;26/01/2010;australian open;QF;Hard;Andy Murray;F
63;17;20;2;0;26/01/2010;australian open;QF;Hard;Andy Murray;B
9;7;9;1;0;26/01/2010;australian open;QF;Hard;Andy Murray;S
139;36;73;38;12;26/01/2010;australian open;QF;Hard;Rafael Nadal;Total
69;17;38;36;12;26/01/2010;australian open;QF;Hard;Rafael Nadal;F
49;12;20;0;0;26/01/2010;australian open;QF;Hard;Rafael Nadal;B
21;7;15;2;0;26/01/2010;australian open;QF;Hard;Rafael Nadal;S
153;182;21;57;5;31/01/2010;australian open;F;Hard;Roger Federer;Total
61;45;11;51;4;31/01/2010;australian open;F;Hard;Roger Federer;F
63;97;8;4;1;31/01/2010;australian open;F;Hard;Roger Federer;B
29;40;2;2;0;31/01/2010;australian open;F;Hard;Roger Federer;S
179;157;35;40;3;31/01/2010;australian open;F;Hard;Andy Murray;Total
71;60;18;35;3;31/01/2010;australian open;F;Hard;Andy Murray;F
94;82;15;4;0;31/01/2010;australian open;F;Hard;Andy Murray;B
14;15;2;1;0;31/01/2010;australian open;F;Hard;Andy Murray;S
107;47;66;48;11;06/06/2010;roland garros;F;Clay;Robin Soderling;Total
66;35;19;42;11;06/06/2010;roland garros;F;Clay;Robin Soderling;F
40;12;44;6;0;06/06/2010;roland garros;F;Clay;Robin Soderling;B
1;0;3;0;0;06/06/2010;roland garros;F;Clay;Robin Soderling;S
128;50;45;26;5;06/06/2010;roland garros;F;Clay;Rafael Nadal;Total
79;18;27;19;5;06/06/2010;roland garros;F;Clay;Rafael Nadal;F
45;22;13;6;0;06/06/2010;roland garros;F;Clay;Rafael Nadal;B
4;10;5;1;0;06/06/2010;roland garros;F;Clay;Rafael Nadal;S
77;45;21;34;4;04/07/2010;wimbledon;F;Grass;Tomas Berdych;Total
38;15;8;29;4;04/07/2010;wimbledon;F;Grass;Tomas Berdych;F
26;24;10;2;0;04/07/2010;wimbledon;F;Grass;Tomas Berdych;B
13;6;3;3;0;04/07/2010;wimbledon;F;Grass;Tomas Berdych;S
78;49;41;28;8;04/07/2010;wimbledon;F;Grass;Rafael Nadal;Total
59;24;23;24;8;04/07/2010;wimbledon;F;Grass;Rafael Nadal;F
12;7;6;3;0;04/07/2010;wimbledon;F;Grass;Rafael Nadal;B
7;18;12;1;0;04/07/2010;wimbledon;F;Grass;Rafael Nadal;S
207;88;91;90;11;12/09/2010;us open;F;Hard;Novak Djokovic;Total
127;24;21;78;11;12/09/2010;us open;F;Hard;Novak Djokovic;F
79;61;65;12;0;12/09/2010;us open;F;Hard;Novak Djokovic;B
1;3;5;0;0;12/09/2010;us open;F;Hard;Novak Djokovic;S
215;91;84;50;23;12/09/2010;us open;F;Hard;Rafael Nadal;Total
144;36;26;44;23;12/09/2010;us open;F;Hard;Rafael Nadal;F
62;35;36;3;0;12/09/2010;us open;F;Hard;Rafael Nadal;B
9;20;22;3;0;12/09/2010;us open;F;Hard;Rafael Nadal;S
324;127;139;93;6;18/01/2011;australian open;R128;Hard;David Nalbandian;Total
122;65;48;71;6;18/01/2011;australian open;R128;Hard;David Nalbandian;F
161;45;80;19;0;18/01/2011;australian open;R128;Hard;David Nalbandian;B
41;17;11;3;0;18/01/2011;australian open;R128;Hard;David Nalbandian;S
329;179;100;55;1;18/01/2011;australian open;R128;Hard;Lleyton Hewitt;Total
132;82;63;40;1;18/01/2011;australian open;R128;Hard;Lleyton Hewitt;F
170;88;26;15;0;18/01/2011;australian open;R128;Hard;Lleyton Hewitt;B
27;9;11;0;0;18/01/2011;australian open;R128;Hard;Lleyton Hewitt;S
153;107;88;54;11;30/01/2011;australian open;F;Hard;Novak Djokovic;Total
65;48;42;44;11;30/01/2011;australian open;F;Hard;Novak Djokovic;F
74;48;37;9;0;30/01/2011;australian open;F;Hard;Novak Djokovic;B
14;11;9;1;0;30/01/2011;australian open;F;Hard;Novak Djokovic;S
239;86;44;55;2;30/01/2011;australian open;F;Hard;Andy Murray;Total
113;27;27;40;2;30/01/2011;australian open;F;Hard;Andy Murray;F
90;47;15;14;0;30/01/2011;australian open;F;Hard;Andy Murray;B
36;12;2;1;0;30/01/2011;australian open;F;Hard;Andy Murray;S
212;158;32;100;5;03/06/2011;roland garros;SF;Clay;Novak Djokovic;Total
107;75;22;92;4;03/06/2011;roland garros;SF;Clay;Novak Djokovic;F
100;75;9;8;0;03/06/2011;roland garros;SF;Clay;Novak Djokovic;B
5;8;1;0;1;03/06/2011;roland garros;SF;Clay;Novak Djokovic;S
161;206;41;45;9;03/06/2011;roland garros;SF;Clay;Roger Federer;Total
83;80;15;37;8;03/06/2011;roland garros;SF;Clay;Roger Federer;F
