Joueur,1stIn,1stWon,2ndWon,SvGms,ace,bpFaced,bpSaved,df,ht,minutes,rank,rank_points,surface_winrate,surface_winrate_2y_ago,surface_winrate_lastear,svpt,total_games
Jiri Vesely,53,39,15,13,8,7,4,4,198,115,69,793,0.3992620403694732,0.40463401258540366,0.3709889647389647,84,27
Jo-Wilfried Tsonga,51,40,17,13,10,5,4,2,188,112,26,2602,0.6412248905248348,0.6420099723018793,0.1470192545265363,83,27
Joao Sousa,49,34,15,12,4,8,4,2,185,109,62,903,0.39672542803621025,0.412554472366753,0.31670641774268715,81,26
John Isner,60,48,15,14,18,4,3,2,206,117,30,1903,0.5866191497543094,0.5880670239361634,0.5850092559769979,89,30
John Millman,52,36,17,13,4,8,4,2,183,117,76,886,0.41355168017667976,0.42783941649478374,0.3890050823313535,85,27
Jonas Bjorkman,50,34,16,13,4,9,5,3,183,111,75,584,0.3281760290148448,0.3505971659919028,0.31116758241758236,84,26
Jordan Thompson,53,37,16,13,6,8,5,2,183,123,76,799,0.3978365543041365,0.3877769695742046,0.4777068809326874,85,27
Jose Acasuso,43,30,18,12,6,7,4,3,190,106,49,858,0.48543417366946784,0.4699848580547201,0.5497198879551821,76,24
Juan Carlos Ferrero,52,36,14,12,4,7,4,2,183,113,40,1175,0.5781551735055724,0.5822864548481084,0.3992946498930542,79,26
Juan Ignacio Chela,50,33,16,12,2,8,5,3,190,115,48,977,0.4708472431053062,0.46246588709742725,0.3317711805921091,81,25
Juan Martin del Potro,49,37,15,13,8,5,3,2,198,117,52,2650,0.699539450706429,0.6903299956771336,0.6505510571300046,78,26
Juan Monaco,51,34,13,12,2,7,4,2,185,111,47,1137,0.5248391762327793,0.5356325167453568,0.3745956237666163,78,25
Julien Benneteau,51,36,14,13,6,7,4,3,185,111,72,847,0.45592323412569424,0.44098521674179436,0.45227661713748935,81,26
Jurgen Melzer,50,34,16,12,5,7,4,3,183,105,50,1173,0.4897483994872863,0.4860267057778215,0.6691393912161487,81,26
Karen Khachanov,53,39,17,13,8,7,4,3,198,118,43,1685,0.5166623821819334,0.5120642412936759,0.5017701974371667,86,27
Kei Nishikori,50,35,17,13,3,7,4,3,178,115,30,2786,0.6477172148060284,0.6535392490124252,0.5624147352174182,81,26
Kevin Anderson,54,42,16,14,13,5,4,3,203,118,40,1636,0.5654035589141714,0.5767097393609608,0.35337640323910346,84,28
Kevin Kim,45,32,15,12,5,8,4,4,180,94,98,519,0.2762472984079632,0.24927703875072296,0.38197767145135564,79,25
Kristof Vliegen,48,33,15,12,6,7,4,2,193,103,86,627,0.39495407411317074,0.4246384166366083,0.2467429722176558,79,26
Kyle Edmund,48,35,17,13,6,7,4,3,188,110,69,1124,0.4779352445394112,0.4913483847068686,0.04999999999999999,81,26
Laslo Djere,51,35,16,13,6,8,5,4,188,120,72,920,0.4434343381301088,0.4004055519410106,0.3911421397827423,84,26
Leonardo Mayer,50,37,17,13,6,6,4,4,188,117,63,876,0.4496175003007078,0.46481063250223525,0.2280725251825415,82,27
Lleyton Hewitt,49,35,21,14,7,7,4,4,180,121,52,1360,0.5833770916382859,0.6150766116394139,0.24094009778698017,87,28
Lloyd Harris,52,39,13,13,10,6,4,2,193,113,78,930,0.43162461735953395,0.34611280487804874,0.47099358974358974,81,27
Lorenzo Musetti,51,34,14,12,3,7,4,2,185,112,70,1039,0.4549313858184825,0.0,0.49523297491039425,77,25
Lorenzo Sonego,52,38,14,13,6,6,4,2,191,121,58,1228,0.46068426877302815,0.44607219224111594,0.4734972677595629,81,26
Lucas Pouille,50,36,20,13,8,8,5,4,185,112,51,1466,0.4977883954478653,0.5261080497219959,0.17307770790435378,88,27
Luis Horna,52,38,14,13,6,7,4,3,180,110,73,580,0.3875639408788265,0.373790125736733,0.24795117698343505,81,26
Lukas Lacko,47,33,16,12,6,7,4,3,185,100,96,604,0.3030462905908987,0.30720229845229846,0.18792229729729726,80,26
Lukas Rosol,49,35,17,13,6,7,5,3,196,101,71,804,0.3919201063495408,0.39659501485041054,0.0,84,26
Lukasz Kubot,52,35,15,13,5,8,5,5,190,116,88,651,0.38636550099821465,0.40491472315182464,0.32220799726880894,83,26
Mackenzie Mcdonald,53,37,15,13,5,8,5,3,178,113,97,736,0.4014037274453941,0.3543395525851666,0.40645208700764257,84,26
Malek Jaziri,45,31,18,12,4,8,5,3,185,108,93,672,0.34175916760675173,0.35522144728556393,0.24739521667061332,82,25
Marat Safin,50,36,18,13,8,7,4,3,193,113,45,1222,0.5062644136775987,0.5021728853142158,0.41482811051110025,85,28
Marc Gicquel,45,32,17,12,6,7,5,2,188,103,69,724,0.4064588782330718,0.4009753463993988,0.25688753269398434,80,25
Marcel Granollers,48,33,15,12,4,7,4,2,190,112,59,927,0.4157729385479201,0.4200566387665469,0.3345960304325195,78,25
Marco Cecchinato,53,37,14,13,4,7,4,2,185,105,73,1013,0.3645658005470229,0.3483333333333333,0.47750000000000004,82,26
Marco Chiudinelli,51,35,17,13,4,7,4,3,185,114,155,477,0.2847398705630413,0.2927850658113816,0.015151515151515152,83,26
Marcos Baghdatis,45,32,20,13,7,7,4,3,183,111,48,1093,0.5093002867489376,0.5202026470617634,0.350335453381429,82,26
Marcos Giron,49,35,16,13,5,7,4,2,180,113,84,819,0.39504608294930876,0.2878343552830356,0.39967235074761953,82,26
Mardy Fish,44,33,19,13,10,6,4,3,188,109,59,1384,0.556280376967569,0.5387159511851305,0.39776898840589636,79,26
Marin Cilic,48,36,19,13,9,6,4,3,198,117,27,2307,0.6171718694599846,0.6238423595588882,0.5301166220168605,82,27
Marinko Matosevic,47,32,15,12,4,8,5,3,194,103,84,659,0.3708753991549205,0.32382692363181925,0.34656895074550503,79,24
Mario Ancic,48,36,15,12,9,6,3,2,196,110,41,1238,0.607472043824232,0.5972230018711575,0.4029930531367313,77,26
Marius Copil,48,35,18,13,11,7,4,3,193,108,135,486,0.3342592270598599,0.33539844930515983,0.6323086196503918,82,26
Martin Klizan,49,34,17,13,5,8,5,4,190,116,63,900,0.4339297678477836,0.4411841445100808,0.1421423588559332,83,26
Martin Vassallo Arguello,52,34,12,12,3,8,5,3,183,114,81,710,0.2763799332530474,0.25521821631878555,0.3073687539531942,79,25
Marton Fucsovics,51,35,19,13,5,8,5,4,188,124,72,987,0.4669046609344154,0.4634458627878525,0.41590472719863325,86,27
Matteo Berrettini,53,41,16,13,10,5,3,2,196,121,30,2421,0.6143726296104927,0.5556851035039099,0.6601825092754676,83,28
Matthew Ebden,47,34,14,12,6,7,4,5,188,98,117,595,0.31621510856293467,0.2560255986452552,0.37590843790932515,78,25
Max Mirnyi,49,36,15,13,9,6,4,4,196,107,66,729,0.4117979416089057,0.4440335538752363,0.2395571658615137,80,28
Michael Berrer,51,36,14,13,6,7,5,3,193,107,92,592,0.32221497138572325,0.3262849020912776,0.3119622664700099,81,26
Michael Llodra,49,36,15,13,8,6,4,3,190,99,63,835,0.4118431753493672,0.4055874466903879,0.3604611869317751,79,26
Michael Russell,49,33,13,12,2,8,4,3,173,107,98,543,0.32129484444735484,0.2775398604692936,0.38258341933264534,78,24
Michal Przysiezny,50,36,17,13,7,8,5,4,185,110,149,481,0.22683201058201052,0.24549999999999997,0.12902777777777774,87,28
Mikael Ymer,53,35,13,12,2,9,5,3,183,118,139,621,0.4287827864592356,0.2946169038334937,0.5279043230195304,82,25
Mikhail Kukushkin,50,33,16,12,3,8,5,2,183,113,81,713,0.38881939699041124,0.4028165895142246,0.08272334834834835,83,26
Mikhail Youzhny,50,35,16,13,4,7,4,3,183,115,36,1354,0.5065889545105147,0.53125464061215,0.19716078030199063,82,26
Milos Raonic,51,41,16,13,15,4,3,3,196,110,23,2601,0.655379893113362,0.658491788491536,0.6737543869742824,80,27
Miomir Kecmanovic,49,34,16,12,4,7,5,2,183,109,55,1066,0.47105579605579606,0.4495915032679738,0.5428932178932179,80,25
Mischa Zverev,50,35,14,12,5,8,5,2,190,101,100,733,0.3779670158160808,0.37254034768217675,0.2981516581516581,79,25
Nick Kyrgios,56,44,16,14,15,5,3,4,193,110,44,1372,0.6170072328009384,0.6196911006043121,0.6951614137086903,87,29
Nicolas Almagro,48,35,18,13,8,6,4,3,183,109,35,1553,0.5630851513039501,0.5785926114769313,0.3352822759092712,81,26
Nicolas Jarry,54,40,16,13,10,7,4,3,198,113,124,692,0.4044338417073724,0.38303244006798076,0.3182169686257181,86,27
Nicolas Kiefer,44,32,19,13,8,7,4,3,183,118,66,944,0.5221797839506173,0.544582982603816,0.3917403198653199,81,26
