Joueur,1stIn,1stWon,2ndWon,SvGms,ace,bpFaced,bpSaved,df,ht,minutes,rank,rank_points,surface_winrate,surface_winrate_2y_ago,surface_winrate_lastear,svpt,total_games
Soon Woo Kwon,44,31,14,12,5,6,3,3,180,104,80,796,0.44358100915477966,0.30265386787125914,0.5272727272727273,74,24
Stan Wawrinka,52,38,20,14,8,7,4,3,183,120,29,2738,0.6158937929024793,0.6130009813894627,0.35209378715514983,88,29
Stefan Koubek,47,32,16,12,4,9,5,3,175,98,119,445,0.37025374385865456,0.3145181405895691,0.200609410430839,81,25
Stefanos Tsitsipas,53,40,17,14,8,5,3,2,193,121,13,4734,0.6684771956610507,0.6157858083088026,0.7334713000214423,83,28
Stephane Robert,44,30,17,13,4,9,5,5,185,101,115,573,0.26078845397027217,0.23686346548188653,0.13400587507730363,83,26
Steve Darcis,50,35,16,13,5,7,4,2,178,108,92,670,0.4433741421976716,0.4409421577939202,0.2467032967032967,82,27
Steve Johnson,50,37,19,13,8,6,4,3,188,111,68,970,0.46576605309064273,0.4810514802416777,0.3662886084628445,85,27
Taro Daniel,48,34,14,12,3,8,5,3,191,114,113,559,0.3156336960842775,0.30617328811369504,0.39200062292358806,80,25
Tatsuma Ito,47,29,21,13,4,11,7,3,180,105,118,485,0.2570276644569097,0.27126999448428024,0.0,86,26
Taylor Dent,46,36,18,13,8,5,3,6,188,99,142,694,0.4374864266168614,0.5175167574361123,0.35146809712027105,82,26
Taylor Fritz,48,35,16,12,9,5,3,2,193,104,56,1400,0.5176443053906156,0.43125609450851826,0.6799325722631068,79,25
Tennys Sandgren,57,40,22,15,9,6,4,4,188,131,72,845,0.3539633009789167,0.3936147539496834,0.2575354609929078,96,30
Teymuraz Gabashvili,47,32,17,12,5,9,5,5,188,110,90,626,0.33638318943846324,0.34160615926723004,0.017904509283819627,82,26
Thanasi Kokkinakis,55,40,19,14,14,5,3,5,196,132,322,269,0.41098484848484845,0.38872173269336385,0.35422405876951324,87,30
Thiago Monteiro,50,36,14,13,5,7,4,2,183,112,98,642,0.3243809523809523,0.2504901885340515,0.37786030341340077,78,26
Thiemo De Bakker,45,32,15,12,7,7,5,2,193,100,140,505,0.36131771799628937,0.3806474233529028,0.3473333333333333,77,24
Thomas Johansson,48,35,18,13,8,6,4,2,180,107,43,985,0.4672688711590496,0.510055859195685,0.3153396020243846,82,26
Thomaz Bellucci,48,34,17,13,6,7,4,4,188,117,59,945,0.4215345268146893,0.43854194865317214,0.12266614440527485,82,27
Tim Henman,49,35,15,12,5,7,5,3,185,107,32,1353,0.4996036464526358,0.5627394636015326,0.48440065681444994,79,25
Tim Smyczek,49,33,17,13,5,9,5,3,175,109,128,482,0.29186211410494156,0.30252144303214923,0.2881414701803051,84,26
Tobias Kamke,44,28,15,11,2,8,5,3,180,100,93,592,0.3255578093306288,0.3198268842420689,0.051470588235294115,75,23
Tomas Berdych,44,33,17,12,8,5,3,3,196,105,13,3165,0.632853047662023,0.6389843000513091,0.42753208386928937,75,25
Tommy Haas,48,36,16,13,7,6,4,3,188,103,53,1454,0.5669174414469231,0.5825866654665699,0.11401769621497623,79,25
Tommy Paul,48,36,17,13,4,5,4,1,185,113,62,1083,0.5094896300882217,0.41463414634146334,0.5677016645326505,81,25
Tommy Robredo,47,34,14,12,4,6,4,2,180,103,38,1620,0.555798757947193,0.5637497605930625,0.13590158816872827,74,24
Ugo Humbert,53,37,15,13,8,7,4,3,188,117,46,1269,0.4181565170940171,0.420026455026455,0.3902777777777777,81,27
Vasek Pospisil,51,39,19,14,10,5,3,4,193,111,72,821,0.4114258606668474,0.44038066929731134,0.048646125116713346,88,29
Victor Estrella,49,34,14,12,4,9,5,3,173,96,71,775,0.3472403474376172,0.39843142338605136,0.18103448275862066,80,25
Victor Hanescu,49,34,11,12,3,8,5,2,198,97,65,949,0.39172721464333515,0.393331521899861,0.38091542845511905,74,24
Viktor Troicki,47,34,14,12,10,6,4,3,193,103,39,1326,0.4742118704414254,0.4803655184902821,0.151673640167364,77,25
Vincent Spadea,45,28,14,11,2,11,7,3,183,95,63,706,0.33733540764790765,0.30518324268324265,0.022727272727272728,78,23
Xavier Malisse,43,32,15,11,7,5,3,2,185,95,64,793,0.458214181090195,0.46358109857358454,0.3490515390121689,71,23
Yen Hsun Lu,48,34,14,12,4,9,6,4,180,124,83,700,0.34168214014137377,0.34542865944176365,0.22139084507042253,79,24
Yoshihito Nishioka,53,34,15,12,2,8,5,2,170,110,92,750,0.43460380406844384,0.4281968967362226,0.5427173406513747,81,25
Yuichi Sugita,49,33,16,12,4,8,5,3,173,107,96,735,0.2995045484080572,0.3228525860104807,0.08333333333333333,82,25
